CODIGO_CALLE,TIPO_VIA,NOMBRE_CALLE,PRIMER_NUM_TRAMO,ULTIMO_NUM_TRAMO,BARRIO,COD_DISTRITO,NOM_DISTRITO
7,CL,AARON ,1,3,MANGAS VERDES ,3,CIUDAD JARDIN 
7,CL,AARON ,2,4,MANGAS VERDES ,3,CIUDAD JARDIN 
14,CL,ABADIA SANTA ANA,1,5,CENTRO HISTORICO,1,CENTRO
14,CL,ABADIA SANTA ANA,2,4,CENTRO HISTORICO,1,CENTRO
28,CL,ABARBANELL,1,7,VALLE DE LOS GALANES,2,ESTE
28,CL,ABARBANELL,2,6,VALLE DE LOS GALANES,2,ESTE
106,CL,ABDERRAMAN,1,27,SANCHEZ BLANCA,6,CRUZ DE HUMILLADERO 
106,CL,ABDERRAMAN,2,72,SANCHEZ BLANCA,6,CRUZ DE HUMILLADERO 
84,CL,ABEDUL,1,21,SANTA AGUEDA,9,CAMPANILLAS 
84,CL,ABEDUL,23,43,DSMO DM CAMPANILLAS ,9,CAMPANILLAS 
84,CL,ABEDUL,2,20,SANTA AGUEDA,9,CAMPANILLAS 
84,CL,ABEDUL,22,74,DSMO DM CAMPANILLAS ,9,CAMPANILLAS 
98,CL,ABEJARUCO ,1,9,PORTADA ALTA,6,CRUZ DE HUMILLADERO 
98,CL,ABEJARUCO ,2,6,PORTADA ALTA,6,CRUZ DE HUMILLADERO 
105,CL,ABEL,1,3,SANTA ROSALIA ,9,CAMPANILLAS 
105,CL,ABEL,2,2,SANTA ROSALIA ,9,CAMPANILLAS 
109,PJE ,ABEL SANCHEZ,1,13,GUADALMAR ,8,CHURRIANA 
109,PJE ,ABEL SANCHEZ,2,20,GUADALMAR ,8,CHURRIANA 
108,PSO ,ABEL SANCHEZ,1,31,GUADALMAR ,8,CHURRIANA 
108,PSO ,ABEL SANCHEZ,2,30,GUADALMAR ,8,CHURRIANA 
107,CL,ABENTOFAIL,1,27,SANCHEZ BLANCA,6,CRUZ DE HUMILLADERO 
107,CL,ABENTOFAIL,2,28,SANCHEZ BLANCA,6,CRUZ DE HUMILLADERO 
112,CL,ABETOS,1,33,EL TOMILLAR ,10,PUERTO DE LA TORRE
112,CL,ABETOS,2,42,EL TOMILLAR ,10,PUERTO DE LA TORRE
126,CL,ABINDARRAEZ ,1,3,CIUDAD JARD�N ,3,CIUDAD JARDIN 
126,CL,ABINDARRAEZ ,2,4,CIUDAD JARD�N ,3,CIUDAD JARDIN 
21436,AV,ABOGADO DE OFICIO ,1,1,HACIENDA BIZCOCHERO ,11,TEATINOS-UNIVERSIDAD
21436,AV,ABOGADO DE OFICIO ,2,2,HACIENDA BIZCOCHERO ,11,TEATINOS-UNIVERSIDAD
140,CL,ABOGADO FEDERICO ORELLANA TOLEDANO,1,11,25 A�OS DE PAZ,7,CARRETERA DE CADIZ
140,CL,ABOGADO FEDERICO ORELLANA TOLEDANO,13,25,ALASKA,7,CARRETERA DE CADIZ
140,CL,ABOGADO FEDERICO ORELLANA TOLEDANO,2,20,HUELIN,7,CARRETERA DE CADIZ
76692,CL,ABOGADO VICTORIANO FRIAS,1,25,EL PALO ,2,ESTE
76692,CL,ABOGADO VICTORIANO FRIAS,2,28,EL PALO ,2,ESTE
147,CL,ABRAHAM ,1,5,MANGAS VERDES ,3,CIUDAD JARDIN 
147,CL,ABRAHAM ,2,6,MANGAS VERDES ,3,CIUDAD JARDIN 
154,CL,ABUBILLA,1,5,PORTADA ALTA,6,CRUZ DE HUMILLADERO 
154,CL,ABUBILLA,2,4,PORTADA ALTA,6,CRUZ DE HUMILLADERO 
168,CL,ABUL BEKA ,1,17,SANTA ISABEL,7,CARRETERA DE CADIZ
168,CL,ABUL BEKA ,2,32,SANTA ISABEL,7,CARRETERA DE CADIZ
224,PSO ,ACACIAS ,1,19,LAS ACACIAS ,2,ESTE
224,PSO ,ACACIAS ,2,26,LAS ACACIAS ,2,ESTE
196,CL,ACACIAS DE GUADALMAR,1,169,GUADALMAR ,8,CHURRIANA 
196,CL,ACACIAS DE GUADALMAR,2,42,GUADALMAR ,8,CHURRIANA 
225,CL,ACANTO,1,1,EL TORCAL ,7,CARRETERA DE CADIZ
225,CL,ACANTO,2,4,SAN CARLOS CONDOTE,7,CARRETERA DE CADIZ
227,CL,ACCION,1,7,FUENTE ALEGRE ,10,PUERTO DE LA TORRE
227,CL,ACCION,2,8,HUERTA NUEVA-PTO TORRE,10,PUERTO DE LA TORRE
238,CL,ACEBUCHE,1,1,CARLOS HAYA ,4,BAILEN-MIRAFLORES 
238,CL,ACEBUCHE,2,2,CARLOS HAYA ,4,BAILEN-MIRAFLORES 
245,CL,ACEITERO,1,3,SAN JULIAN,8,CHURRIANA 
245,CL,ACEITERO,2,4,SAN JULIAN,8,CHURRIANA 
252,CL,ACEITUNAS LAS ,1,13,SIERRA BLANQUILLA ,1,CENTRO
252,CL,ACEITUNAS LAS ,2,6,SIERRA BLANQUILLA ,1,CENTRO
280,CL,ACEITUNO,1,21,EL OLIVAR ,8,CHURRIANA 
280,CL,ACEITUNO,2,40,EL OLIVAR ,8,CHURRIANA 
308,CL,ACEQUIA ,1,13,HUELIN,7,CARRETERA DE CADIZ
308,CL,ACEQUIA ,2,6,HUELIN,7,CARRETERA DE CADIZ
322,PL,ACINIPO ,1,3,SAGRADA FAMILIA ,3,CIUDAD JARDIN 
322,PL,ACINIPO ,2,2,SAGRADA FAMILIA ,3,CIUDAD JARDIN 
323,CL,ACTRIZ AMELIA DE LA TORRE ,1,21,PARQ EMP TREVENEZ ,9,CAMPANILLAS 
323,CL,ACTRIZ AMELIA DE LA TORRE ,2,42,PARQ EMP TREVENEZ ,9,CAMPANILLAS 
325,CL,ACTRIZ LA TIRANA,1,3,EL DUENDE ,6,CRUZ DE HUMILLADERO 
