[0][2024-06-04 12:38:31] Failed to read CSV file at line 4 due to content 'CODIGO_CALLE,TIPO_VIA,NOMBRE_CALLE,PRIMER_NUM_TRAMO,ULTIMO_NUM_TRAMO,BARRIO,COD_DISTRITO,NOM_DISTRITO'
[1][2024-06-04 12:38:32] Failed to read CSV file at line 844 due to content '5428,PL,"ANTONIO ASENSI ""EL CHICUELO"",1,3,""EL PALO ",2,ESTE,,,'
[2][2024-06-04 12:38:32] Failed to read CSV file at line 845 due to content '5428,PL,"ANTONIO ASENSI ""EL CHICUELO"",2,2,""EL PALO ",2,ESTE,,,'
[3][2024-06-04 12:38:33] Failed to read CSV file at line 4366 due to content '21683,CL,"ENRIQUETA ""LA REPOMPA"",1,95,""EL CUARTON",8,CHURRIANA ,,,'
[4][2024-06-04 12:38:33] Failed to read CSV file at line 4369 due to content '21683,CL,"ENRIQUETA ""LA REPOMPA"",2,106,""EL CUARTON",8,CHURRIANA ,,,'
[5][2024-06-04 12:38:34] Failed to read CSV file at line 6871 due to content '37774,PL,"JUAN GOMEZ ""JUANITO"",2,10,""EL HIGUERAL ",7,CARRETERA DE CADIZ,,,'
[5][2024-06-04 12:38:34] Failed to read CSV file at line 6871 due to content '37774,PL,"JUAN GOMEZ ""JUANITO"",1,9,""EL HIGUERAL ",7,CARRETERA DE CADIZ,,,'
[7][2024-06-04 12:38:34] Failed to read CSV file at line 6933 due to content '11985,PQUE,"JUAN ROSA ""EL PULGA"",2,2,""CIUDAD JARD�N ",3,CIUDAD JARDIN ,,,'
[7][2024-06-04 12:38:34] Failed to read CSV file at line 6933 due to content '11985,PQUE,"JUAN ROSA ""EL PULGA"",1,1,""CIUDAD JARD�N ",3,CIUDAD JARDIN ,,,'
[9][2024-06-04 12:38:34] Failed to read CSV file at line 7584 due to content '39700,CL,"LEOPOLDO ALAS ""CLARIN"",2,10,""JARDIN DE LA ABADIA ",7,CARRETERA DE CADIZ,,,'
[9][2024-06-04 12:38:34] Failed to read CSV file at line 7584 due to content '39700,CL,"LEOPOLDO ALAS ""CLARIN"",1,9,""JARDIN DE LA ABADIA ",7,CARRETERA DE CADIZ,,,'
[11][2024-06-04 12:38:36] Failed to read CSV file at line 10916 due to content '21699,CL,"RAFAEL ""EL MORENO"",1,107,""EL CUARTON",8,CHURRIANA ,,,'
[12][2024-06-04 12:38:36] Failed to read CSV file at line 10917 due to content '21699,CL,"RAFAEL ""EL MORENO"",2,44,""EL CUARTON",8,CHURRIANA ,,,'
[13][2024-06-04 12:38:37] Failed to read CSV file at line 14276 due to content '5428,PL,"ANTONIO ASENSI ""EL CHICUELO"",1,3,""EL PALO ",2,ESTE,,,'
[14][2024-06-04 12:38:37] Failed to read CSV file at line 14277 due to content '5428,PL,"ANTONIO ASENSI ""EL CHICUELO"",2,2,""EL PALO ",2,ESTE,,,'
[15][2024-06-04 12:38:38] Failed to read CSV file at line 17799 due to content '21683,CL,"ENRIQUETA ""LA REPOMPA"",2,106,""EL CUARTON",8,CHURRIANA ,,,'
[15][2024-06-04 12:38:38] Failed to read CSV file at line 17799 due to content '21683,CL,"ENRIQUETA ""LA REPOMPA"",1,95,""EL CUARTON",8,CHURRIANA ,,,'
[17][2024-06-04 12:38:38] Failed to read CSV file at line 20302 due to content '37774,PL,"JUAN GOMEZ ""JUANITO"",1,9,""EL HIGUERAL ",7,CARRETERA DE CADIZ,,,'
[18][2024-06-04 12:38:38] Failed to read CSV file at line 20303 due to content '37774,PL,"JUAN GOMEZ ""JUANITO"",2,10,""EL HIGUERAL ",7,CARRETERA DE CADIZ,,,'
[19][2024-06-04 12:38:38] Failed to read CSV file at line 20364 due to content '11985,PQUE,"JUAN ROSA ""EL PULGA"",1,1,""CIUDAD JARD�N ",3,CIUDAD JARDIN ,,,'
[19][2024-06-04 12:38:38] Failed to read CSV file at line 20367 due to content '11985,PQUE,"JUAN ROSA ""EL PULGA"",2,2,""CIUDAD JARD�N ",3,CIUDAD JARDIN ,,,'
[21][2024-06-04 12:38:39] Failed to read CSV file at line 21016 due to content '39700,CL,"LEOPOLDO ALAS ""CLARIN"",2,10,""JARDIN DE LA ABADIA ",7,CARRETERA DE CADIZ,,,'
[21][2024-06-04 12:38:39] Failed to read CSV file at line 21016 due to content '39700,CL,"LEOPOLDO ALAS ""CLARIN"",1,9,""JARDIN DE LA ABADIA ",7,CARRETERA DE CADIZ,,,'
[23][2024-06-04 12:38:40] Failed to read CSV file at line 24349 due to content '21699,CL,"RAFAEL ""EL MORENO"",1,107,""EL CUARTON",8,CHURRIANA ,,,'
[23][2024-06-04 12:38:40] Failed to read CSV file at line 24349 due to content '21699,CL,"RAFAEL ""EL MORENO"",2,44,""EL CUARTON",8,CHURRIANA ,,,'
[25][2024-06-04 12:38:40] Failed to read CSV file at line 27709 due to content '5428,PL,"ANTONIO ASENSI ""EL CHICUELO"",2,2,""EL PALO ",2,ESTE,,,'
[25][2024-06-04 12:38:40] Failed to read CSV file at line 27709 due to content '5428,PL,"ANTONIO ASENSI ""EL CHICUELO"",1,3,""EL PALO ",2,ESTE,,,'
[27][2024-06-04 12:38:41] Failed to read CSV file at line 31230 due to content '21683,CL,"ENRIQUETA ""LA REPOMPA"",1,95,""EL CUARTON",8,CHURRIANA ,,,'
[27][2024-06-04 12:38:41] Failed to read CSV file at line 31234 due to content '21683,CL,"ENRIQUETA ""LA REPOMPA"",2,106,""EL CUARTON",8,CHURRIANA ,,,'
[29][2024-06-04 12:38:42] Failed to read CSV file at line 33735 due to content '37774,PL,"JUAN GOMEZ ""JUANITO"",1,9,""EL HIGUERAL ",7,CARRETERA DE CADIZ,,,'
[29][2024-06-04 12:38:42] Failed to read CSV file at line 33735 due to content '37774,PL,"JUAN GOMEZ ""JUANITO"",2,10,""EL HIGUERAL ",7,CARRETERA DE CADIZ,,,'
[31][2024-06-04 12:38:42] Failed to read CSV file at line 33797 due to content '11985,PQUE,"JUAN ROSA ""EL PULGA"",1,1,""CIUDAD JARD�N ",3,CIUDAD JARDIN ,,,'
[31][2024-06-04 12:38:42] Failed to read CSV file at line 33798 due to content '11985,PQUE,"JUAN ROSA ""EL PULGA"",2,2,""CIUDAD JARD�N ",3,CIUDAD JARDIN ,,,'
[33][2024-06-04 12:38:42] Failed to read CSV file at line 34447 due to content '39700,CL,"LEOPOLDO ALAS ""CLARIN"",1,9,""JARDIN DE LA ABADIA ",7,CARRETERA DE CADIZ,,,'
[33][2024-06-04 12:38:42] Failed to read CSV file at line 34450 due to content '39700,CL,"LEOPOLDO ALAS ""CLARIN"",2,10,""JARDIN DE LA ABADIA ",7,CARRETERA DE CADIZ,,,'
[35][2024-06-04 12:38:43] Failed to read CSV file at line 37781 due to content '21699,CL,"RAFAEL ""EL MORENO"",1,107,""EL CUARTON",8,CHURRIANA ,,,'
[35][2024-06-04 12:38:43] Failed to read CSV file at line 37781 due to content '21699,CL,"RAFAEL ""EL MORENO"",2,44,""EL CUARTON",8,CHURRIANA ,,,'
[37][2024-06-04 12:38:44] Failed to read CSV file at line 41140 due to content '5428,PL,"ANTONIO ASENSI ""EL CHICUELO"",1,3,""EL PALO ",2,ESTE,,,'
[37][2024-06-04 12:38:44] Failed to read CSV file at line 41143 due to content '5428,PL,"ANTONIO ASENSI ""EL CHICUELO"",2,2,""EL PALO ",2,ESTE,,,'
[39][2024-06-04 12:38:45] Failed to read CSV file at line 44662 due to content '21683,CL,"ENRIQUETA ""LA REPOMPA"",1,95,""EL CUARTON",8,CHURRIANA ,,,'
[39][2024-06-04 12:38:45] Failed to read CSV file at line 44665 due to content '21683,CL,"ENRIQUETA ""LA REPOMPA"",2,106,""EL CUARTON",8,CHURRIANA ,,,'
[41][2024-06-04 12:38:46] Failed to read CSV file at line 47166 due to content '37774,PL,"JUAN GOMEZ ""JUANITO"",1,9,""EL HIGUERAL ",7,CARRETERA DE CADIZ,,,'
[42][2024-06-04 12:38:46] Failed to read CSV file at line 47167 due to content '37774,PL,"JUAN GOMEZ ""JUANITO"",2,10,""EL HIGUERAL ",7,CARRETERA DE CADIZ,,,'
[43][2024-06-04 12:38:46] Failed to read CSV file at line 47229 due to content '11985,PQUE,"JUAN ROSA ""EL PULGA"",1,1,""CIUDAD JARD�N ",3,CIUDAD JARDIN ,,,'
[43][2024-06-04 12:38:46] Failed to read CSV file at line 47229 due to content '11985,PQUE,"JUAN ROSA ""EL PULGA"",2,2,""CIUDAD JARD�N ",3,CIUDAD JARDIN ,,,'
[45][2024-06-04 12:38:46] Failed to read CSV file at line 47879 due to content '39700,CL,"LEOPOLDO ALAS ""CLARIN"",1,9,""JARDIN DE LA ABADIA ",7,CARRETERA DE CADIZ,,,'
[45][2024-06-04 12:38:46] Failed to read CSV file at line 47883 due to content '39700,CL,"LEOPOLDO ALAS ""CLARIN"",2,10,""JARDIN DE LA ABADIA ",7,CARRETERA DE CADIZ,,,'
[47][2024-06-04 12:38:48] Failed to read CSV file at line 51215 due to content '21699,CL,"RAFAEL ""EL MORENO"",1,107,""EL CUARTON",8,CHURRIANA ,,,'
[47][2024-06-04 12:38:48] Failed to read CSV file at line 51215 due to content '21699,CL,"RAFAEL ""EL MORENO"",2,44,""EL CUARTON",8,CHURRIANA ,,,'
[49][2024-06-04 12:38:49] Failed to read CSV file at line 54572 due to content '5428,PL,"ANTONIO ASENSI ""EL CHICUELO"",1,3,""EL PALO ",2,ESTE,,,'
[50][2024-06-04 12:38:49] Failed to read CSV file at line 54573 due to content '5428,PL,"ANTONIO ASENSI ""EL CHICUELO"",2,2,""EL PALO ",2,ESTE,,,'
[51][2024-06-04 12:38:50] Failed to read CSV file at line 58098 due to content '21683,CL,"ENRIQUETA ""LA REPOMPA"",1,95,""EL CUARTON",8,CHURRIANA ,,,'
[51][2024-06-04 12:38:50] Failed to read CSV file at line 58098 due to content '21683,CL,"ENRIQUETA ""LA REPOMPA"",2,106,""EL CUARTON",8,CHURRIANA ,,,'
[53][2024-06-04 12:38:50] Failed to read CSV file at line 60599 due to content '37774,PL,"JUAN GOMEZ ""JUANITO"",2,10,""EL HIGUERAL ",7,CARRETERA DE CADIZ,,,'
[53][2024-06-04 12:38:50] Failed to read CSV file at line 60599 due to content '37774,PL,"JUAN GOMEZ ""JUANITO"",1,9,""EL HIGUERAL ",7,CARRETERA DE CADIZ,,,'
[55][2024-06-04 12:38:51] Failed to read CSV file at line 60661 due to content '11985,PQUE,"JUAN ROSA ""EL PULGA"",2,2,""CIUDAD JARD�N ",3,CIUDAD JARDIN ,,,'
[55][2024-06-04 12:38:51] Failed to read CSV file at line 60661 due to content '11985,PQUE,"JUAN ROSA ""EL PULGA"",1,1,""CIUDAD JARD�N ",3,CIUDAD JARDIN ,,,'
[57][2024-06-04 12:38:51] Failed to read CSV file at line 61311 due to content '39700,CL,"LEOPOLDO ALAS ""CLARIN"",1,9,""JARDIN DE LA ABADIA ",7,CARRETERA DE CADIZ,,,'
[58][2024-06-04 12:38:51] Failed to read CSV file at line 61312 due to content '39700,CL,"LEOPOLDO ALAS ""CLARIN"",2,10,""JARDIN DE LA ABADIA ",7,CARRETERA DE CADIZ,,,'
[59][2024-06-04 12:38:52] Failed to read CSV file at line 64644 due to content '21699,CL,"RAFAEL ""EL MORENO"",1,107,""EL CUARTON",8,CHURRIANA ,,,'
[60][2024-06-04 12:38:52] Failed to read CSV file at line 64645 due to content '21699,CL,"RAFAEL ""EL MORENO"",2,44,""EL CUARTON",8,CHURRIANA ,,,'
[61][2024-06-04 12:38:53] Failed to read CSV file at line 68005 due to content '5428,PL,"ANTONIO ASENSI ""EL CHICUELO"",2,2,""EL PALO ",2,ESTE,,,'
[61][2024-06-04 12:38:53] Failed to read CSV file at line 68005 due to content '5428,PL,"ANTONIO ASENSI ""EL CHICUELO"",1,3,""EL PALO ",2,ESTE,,,'
[63][2024-06-04 12:38:54] Failed to read CSV file at line 71526 due to content '21683,CL,"ENRIQUETA ""LA REPOMPA"",1,95,""EL CUARTON",8,CHURRIANA ,,,'
[64][2024-06-04 12:38:54] Failed to read CSV file at line 71527 due to content '21683,CL,"ENRIQUETA ""LA REPOMPA"",2,106,""EL CUARTON",8,CHURRIANA ,,,'
[65][2024-06-04 12:38:54] Failed to read CSV file at line 74030 due to content '37774,PL,"JUAN GOMEZ ""JUANITO"",1,9,""EL HIGUERAL ",7,CARRETERA DE CADIZ,,,'
[66][2024-06-04 12:38:54] Failed to read CSV file at line 74031 due to content '37774,PL,"JUAN GOMEZ ""JUANITO"",2,10,""EL HIGUERAL ",7,CARRETERA DE CADIZ,,,'
[67][2024-06-04 12:38:54] Failed to read CSV file at line 74093 due to content '11985,PQUE,"JUAN ROSA ""EL PULGA"",2,2,""CIUDAD JARD�N ",3,CIUDAD JARDIN ,,,'
[67][2024-06-04 12:38:54] Failed to read CSV file at line 74093 due to content '11985,PQUE,"JUAN ROSA ""EL PULGA"",1,1,""CIUDAD JARD�N ",3,CIUDAD JARDIN ,,,'
