Error al procesar el item {}: {}Calle(id=null, codigo=7, via=CL, nombre=AARON, primerNum=1, ultimoNum=3, barrio=MANGAS VERDES, codDistrito=3, nomDistrito=CIUDAD JARDIN)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=7, via=CL, nombre=AARON, primerNum=2, ultimoNum=4, barrio=MANGAS VERDES, codDistrito=3, nomDistrito=CIUDAD JARDIN)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=14, via=CL, nombre=ABADIA SANTA ANA, primerNum=1, ultimoNum=5, barrio=CENTRO HISTORICO, codDistrito=1, nomDistrito=CENTRO)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=14, via=CL, nombre=ABADIA SANTA ANA, primerNum=2, ultimoNum=4, barrio=CENTRO HISTORICO, codDistrito=1, nomDistrito=CENTRO)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=106, via=CL, nombre=ABDERRAMAN, primerNum=1, ultimoNum=27, barrio=SANCHEZ BLANCA, codDistrito=6, nomDistrito=CRUZ DE HUMILLADERO)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=106, via=CL, nombre=ABDERRAMAN, primerNum=2, ultimoNum=72, barrio=SANCHEZ BLANCA, codDistrito=6, nomDistrito=CRUZ DE HUMILLADERO)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=84, via=CL, nombre=ABEDUL, primerNum=1, ultimoNum=21, barrio=SANTA AGUEDA, codDistrito=9, nomDistrito=CAMPANILLAS)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=84, via=CL, nombre=ABEDUL, primerNum=23, ultimoNum=43, barrio=DSMO DM CAMPANILLAS, codDistrito=9, nomDistrito=CAMPANILLAS)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=84, via=CL, nombre=ABEDUL, primerNum=2, ultimoNum=20, barrio=SANTA AGUEDA, codDistrito=9, nomDistrito=CAMPANILLAS)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=84, via=CL, nombre=ABEDUL, primerNum=22, ultimoNum=74, barrio=DSMO DM CAMPANILLAS, codDistrito=9, nomDistrito=CAMPANILLAS)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=98, via=CL, nombre=ABEJARUCO, primerNum=1, ultimoNum=9, barrio=PORTADA ALTA, codDistrito=6, nomDistrito=CRUZ DE HUMILLADERO)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=98, via=CL, nombre=ABEJARUCO, primerNum=2, ultimoNum=6, barrio=PORTADA ALTA, codDistrito=6, nomDistrito=CRUZ DE HUMILLADERO)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=105, via=CL, nombre=ABEL, primerNum=1, ultimoNum=3, barrio=SANTA ROSALIA, codDistrito=9, nomDistrito=CAMPANILLAS)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=105, via=CL, nombre=ABEL, primerNum=2, ultimoNum=2, barrio=SANTA ROSALIA, codDistrito=9, nomDistrito=CAMPANILLAS)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=109, via=PJE, nombre=ABEL SANCHEZ, primerNum=1, ultimoNum=13, barrio=GUADALMAR, codDistrito=8, nomDistrito=CHURRIANA)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=109, via=PJE, nombre=ABEL SANCHEZ, primerNum=2, ultimoNum=20, barrio=GUADALMAR, codDistrito=8, nomDistrito=CHURRIANA)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=108, via=PSO, nombre=ABEL SANCHEZ, primerNum=1, ultimoNum=31, barrio=GUADALMAR, codDistrito=8, nomDistrito=CHURRIANA)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=108, via=PSO, nombre=ABEL SANCHEZ, primerNum=2, ultimoNum=30, barrio=GUADALMAR, codDistrito=8, nomDistrito=CHURRIANA)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=107, via=CL, nombre=ABENTOFAIL, primerNum=1, ultimoNum=27, barrio=SANCHEZ BLANCA, codDistrito=6, nomDistrito=CRUZ DE HUMILLADERO)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=107, via=CL, nombre=ABENTOFAIL, primerNum=2, ultimoNum=28, barrio=SANCHEZ BLANCA, codDistrito=6, nomDistrito=CRUZ DE HUMILLADERO)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=112, via=CL, nombre=ABETOS, primerNum=1, ultimoNum=33, barrio=EL TOMILLAR, codDistrito=10, nomDistrito=PUERTO DE LA TORRE)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=112, via=CL, nombre=ABETOS, primerNum=2, ultimoNum=42, barrio=EL TOMILLAR, codDistrito=10, nomDistrito=PUERTO DE LA TORRE)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=126, via=CL, nombre=ABINDARRAEZ, primerNum=1, ultimoNum=3, barrio=CIUDAD JARD�N, codDistrito=3, nomDistrito=CIUDAD JARDIN)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=126, via=CL, nombre=ABINDARRAEZ, primerNum=2, ultimoNum=4, barrio=CIUDAD JARD�N, codDistrito=3, nomDistrito=CIUDAD JARDIN)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=21436, via=AV, nombre=ABOGADO DE OFICIO, primerNum=1, ultimoNum=1, barrio=HACIENDA BIZCOCHERO, codDistrito=11, nomDistrito=TEATINOS-UNIVERSIDAD)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=21436, via=AV, nombre=ABOGADO DE OFICIO, primerNum=2, ultimoNum=2, barrio=HACIENDA BIZCOCHERO, codDistrito=11, nomDistrito=TEATINOS-UNIVERSIDAD)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=140, via=CL, nombre=ABOGADO FEDERICO ORELLANA TOLEDANO, primerNum=1, ultimoNum=11, barrio=25 A�OS DE PAZ, codDistrito=7, nomDistrito=CARRETERA DE CADIZ)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=140, via=CL, nombre=ABOGADO FEDERICO ORELLANA TOLEDANO, primerNum=13, ultimoNum=25, barrio=ALASKA, codDistrito=7, nomDistrito=CARRETERA DE CADIZ)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=140, via=CL, nombre=ABOGADO FEDERICO ORELLANA TOLEDANO, primerNum=2, ultimoNum=20, barrio=HUELIN, codDistrito=7, nomDistrito=CARRETERA DE CADIZ)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=147, via=CL, nombre=ABRAHAM, primerNum=1, ultimoNum=5, barrio=MANGAS VERDES, codDistrito=3, nomDistrito=CIUDAD JARDIN)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=147, via=CL, nombre=ABRAHAM, primerNum=2, ultimoNum=6, barrio=MANGAS VERDES, codDistrito=3, nomDistrito=CIUDAD JARDIN)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=154, via=CL, nombre=ABUBILLA, primerNum=1, ultimoNum=5, barrio=PORTADA ALTA, codDistrito=6, nomDistrito=CRUZ DE HUMILLADERO)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=154, via=CL, nombre=ABUBILLA, primerNum=2, ultimoNum=4, barrio=PORTADA ALTA, codDistrito=6, nomDistrito=CRUZ DE HUMILLADERO)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=168, via=CL, nombre=ABUL BEKA, primerNum=1, ultimoNum=17, barrio=SANTA ISABEL, codDistrito=7, nomDistrito=CARRETERA DE CADIZ)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=168, via=CL, nombre=ABUL BEKA, primerNum=2, ultimoNum=32, barrio=SANTA ISABEL, codDistrito=7, nomDistrito=CARRETERA DE CADIZ)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=196, via=CL, nombre=ACACIAS DE GUADALMAR, primerNum=1, ultimoNum=169, barrio=GUADALMAR, codDistrito=8, nomDistrito=CHURRIANA)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=196, via=CL, nombre=ACACIAS DE GUADALMAR, primerNum=2, ultimoNum=42, barrio=GUADALMAR, codDistrito=8, nomDistrito=CHURRIANA)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=225, via=CL, nombre=ACANTO, primerNum=1, ultimoNum=1, barrio=EL TORCAL, codDistrito=7, nomDistrito=CARRETERA DE CADIZ)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=225, via=CL, nombre=ACANTO, primerNum=2, ultimoNum=4, barrio=SAN CARLOS CONDOTE, codDistrito=7, nomDistrito=CARRETERA DE CADIZ)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=227, via=CL, nombre=ACCION, primerNum=1, ultimoNum=7, barrio=FUENTE ALEGRE, codDistrito=10, nomDistrito=PUERTO DE LA TORRE)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=227, via=CL, nombre=ACCION, primerNum=2, ultimoNum=8, barrio=HUERTA NUEVA-PTO TORRE, codDistrito=10, nomDistrito=PUERTO DE LA TORRE)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=238, via=CL, nombre=ACEBUCHE, primerNum=1, ultimoNum=1, barrio=CARLOS HAYA, codDistrito=4, nomDistrito=BAILEN-MIRAFLORES)No cumple con la validación
